gene_symbol,organism,,p-value,,sample,,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,n_of_control,n_of_experiment,link,FC,logFC,percent_of_change
CRISPLD2,human,,0.000446867,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.689706815,,-31.0
ADM,human,,0.000449266,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.903322156,,-9.0
GFRA2,human,,0.000448972,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.931409851,,-6.0
PLVAP,human,,0.000449221,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.791319742,,-20.0
YWHAB,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
YWHAE,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
YWHAG,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
YWHAH,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
YWHAQ,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
YWHAZ,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
SFN,human,,0.000450805,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.888691714,,-11.0
KIR2DS2,human,,0.000451478,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.143159347,,14.0
LEPRE1,human,,0.00045623,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.105988167,,10.0
PSG3,human,,0.000467357,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.908715879,,-9.0
CSF1,human,,0.000469152,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.881808083,,-11.0
NADK,human,,0.000472135,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.673896536,,-32.0
NT5C2,human,,0.000471616,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.863164054,,-13.0
PFDN5,human,,0.00047197,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.840685652,,-15.0
DLG3,human,,0.000480082,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.09261453,,9.0
RDH16,human,,0.000490302,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.064512215,,6.0
NFATC1,human,,0.000490761,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.111061016,,11.0
CHEK1,human,,0.000492694,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.091007301,,9.0
ANGPTL3,human,,0.000494328,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.728769858,,-27.0
FAM19A5,human,,0.000497543,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.935791154,,-6.0
DEF6,human,,0.000500211,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.752273751,,-24.0
DUSP4,human,,0.000512298,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.050330484,,5.0
SCAMP5,human,,0.0005149,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.076801182,,7.0
LIPA,human,,0.000516213,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.721009387,,-27.0
TNFRSF21,human,,0.000517391,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.840320837,,-15.0
CELA1,human,,0.000519507,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.786216152,,-21.0
LILRA4,human,,0.0005202,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.893256185,,-10.0
SPINK1,human,,0.000519785,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.920888722,,-7.0
ERBB3,human,,0.000522036,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.128789464,,12.0
ROBO4,human,,0.000523011,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.814301415,,-18.0
STX10,human,,0.000525589,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.92481707,,-7.0
LRRN1,human,,0.000527959,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.148151782,,14.0
TFPI,human,,0.000528152,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.856645663,,-14.0
CPNE1,human,,0.000531848,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.781930661,,-21.0
DMPK,human,,0.000531625,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.067869301,,6.0
ARPC1B,human,,0.00053289,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.700825244,,-29.0
IL17RB,human,,0.000535593,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.095690118,,9.0
NGFR,human,,0.000541028,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.893215749,,-10.0
TNFRSF9,human,,0.000542606,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.900257457,,-9.0
LINGO1,human,,0.000544106,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.120804903,,12.0
IGF2,human,,0.000544807,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.08005475,,8.0
GSTP1,human,,0.000546157,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.695384747,,-30.0
PTEN,human,,0.000551601,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.837897199,,-16.0
LRRN1,human,,0.000552116,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.100640178,,10.0
DYNAP,human,,0.000558871,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.124085303,,12.0
AKT1,human,,0.000562187,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.823546582,,-17.0
AKT2,human,,0.000562187,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.823546582,,-17.0
AKT3,human,,0.000562187,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.823546582,,-17.0
TNFRSF18,human,,0.000574979,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.871401256,,-12.0
BARD1,human,,0.000576725,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.070800312,,7.0
IL17F,human,,0.000585383,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.055096481,,5.0
SCARA5,human,,0.000591807,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.898959328,,-10.0
ADM,human,,0.000611657,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.062467713,,6.0
HPGDS,human,,0.000612604,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.115597402,,11.0
SEMA6C,human,,0.000620938,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.777276501,,-22.0
DARS2,human,,0.000625716,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.734981044,,-26.0
TCN2,human,,0.000630571,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.837366011,,-16.0
SLITRK3,human,,0.000643806,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.081270086,,8.0
WFIKKN1,human,,0.000644404,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.15501486,,15.0
APOA5,human,,0.00064557,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.138829295,,13.0
GCG,human,,0.000646951,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.759063711,,-24.0
SSR1,human,,0.000646866,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150009327,,15.0
CHRDL2,human,,0.000653073,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.825601234,,-17.0
C11orf94,human,,0.000654495,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.938624648,,-6.0
MNX1,human,,0.000654671,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.937302785,,-6.0
KCNF1,human,,0.00066162,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.069584786,,6.0
SPARCL1,human,,0.000682055,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.871348001,,-12.0
CHST1,human,,0.000689463,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.064942374,,6.0
DIRAS3,human,,0.000689583,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.086950078,,8.0
CCL18,human,,0.000705101,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.795882963,,-20.0
HNRNPAB,human,,0.000704902,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.784747259,,-21.0
PSG5,human,,0.000707909,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.86411662,,-13.0
RAET1E,human,,0.000707993,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.065374084,,6.0
EPHA7,human,,0.000709047,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.933275705,,-6.0
CTSF,human,,0.000710099,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.86277644,,-13.0
ATP5J,human,,0.000710898,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.814294914,,-18.0
ZNRF3,human,,0.000724071,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.103538298,,10.0
CD74,human,,0.000727739,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.117085702,,11.0
C5orf46,human,,0.000728503,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.083913125,,8.0
CD274,human,,0.000731651,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.930896055,,-6.0
LYG1,human,,0.000731855,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.140652327,,14.0
NBR1,human,,0.000731152,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.885521091,,-11.0
PARK7,human,,0.000746679,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.216985624,,21.0
C1QTNF9,human,,0.000748653,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.132628421,,13.0
IGSF3,human,,0.000751892,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.858526898,,-14.0
NR4A1,human,,0.000761105,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.068476901,,6.0
FGFRL1,human,,0.000784145,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.088792751,,8.0
INS,human,,0.000785013,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.921367441,,-7.0
DEFA1,human,,0.000796001,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.670207627,,-32.0
PAPPA2,human,,0.000798518,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.058151,,5.0
CSN1S1,human,,0.000803365,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.097470277,,9.0
DNAJC4,human,,0.000806472,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.145245907,,14.0
CETN2,human,,0.000807205,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.098487162,,9.0
DMKN,human,,0.00081041,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.067644792,,6.0
CD44,human,,0.000814024,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.922918529,,-7.0
CLEC2B,human,,0.000814496,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.093569367,,9.0
PRDX5,human,,0.00081523,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.061914601,,6.0
IL1R2,human,,0.000817555,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.168573704,,16.0
SEL1L2,human,,0.000822932,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.091288764,,9.0
MAPK11,human,,0.000830077,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.887499159,,-11.0
TSSK2,human,,0.000839327,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.121986785,,12.0
TDP1,human,,0.000847889,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.775760417,,-22.0
CCL24,human,,0.000853564,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.077182387,,7.0
VAMP3,human,,0.000864066,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.064671038,,6.0
TPM1,human,,0.000866296,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.104693366,,10.0
TRAPPC5,human,,0.000866666,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.085677111,,8.0
FOLH1,human,,0.00087222,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.15624475,,15.0
SLC5A8,human,,0.000907968,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.961408975,,-3.0
CRTAC1,human,,0.000914108,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.820753245,,-17.0
YBX1,human,,0.000917099,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.713127184,,-28.0
CD5,human,,0.000928651,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.875864317,,-12.0
PROK1,human,,0.000936714,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.116896961,,11.0
FAM163A,human,,0.000941845,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.828629957,,-17.0
NCF2,human,,0.000956768,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.810035392,,-18.0
RAD51,human,,0.000960421,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.137619983,,13.0
SHBG,human,,0.000962975,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.730852191,,-26.0
NEGR1,human,,0.000965932,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.927853667,,-7.0
CLEC4A,human,,0.000985523,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.099838868,,9.0
RLN3,human,,0.000988113,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.095844145,,9.0
DNASE1L2,human,,0.001002278,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.77101043,,-22.0
HS3ST3A1,human,,0.001020375,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.8329818,,-16.0
SPRED1,human,,0.001022628,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.802187445,,-19.0
B4GALT5,human,,0.001031447,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.075240143,,7.0
ARRDC3,human,,0.001037406,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.776952956,,-22.0
ATP4B,human,,0.001052731,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.32134259,,32.0
ALDH1A3,human,,0.001057014,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.116365856,,11.0
CASP3,human,,0.001055854,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.802050102,,-19.0
ENTPD1,human,,0.001056279,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.89646068,,-10.0
EGF,human,,0.001066474,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.104195337,,10.0
CD300E,human,,0.001070555,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.807234658,,-19.0
KLK10,human,,0.001073368,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.803784954,,-19.0
MDM2,human,,0.001074538,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.11032202,,11.0
SLC26A11,human,,0.00107841,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.122068659,,12.0
DEFB131,human,,0.001080043,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.859227661,,-14.0
SYNGR3,human,,0.001106048,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.099166555,,9.0
NUDT12,human,,0.001112787,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.084643945,,8.0
LRRK2,human,,0.001133508,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.162614003,,16.0
MINPP1,human,,0.00113804,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.086030116,,8.0
PROC,human,,0.001143671,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.089527987,,8.0
APOD,human,,0.001148325,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.859366779,,-14.0
CTSC,human,,0.001148383,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.873988625,,-12.0
TGFBI,human,,0.001152424,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.903704944,,-9.0
PEX14,human,,0.001162644,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.091544559,,9.0
HBZ,human,,0.00118543,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.075119299,,7.0
FAM162B,human,,0.001193416,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.054151231,,5.0
GPR101,human,,0.001194492,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.066277567,,6.0
PLBD2,human,,0.001202269,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.07056017,,7.0
ANXA1,human,,0.001203369,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.66077645,,-33.0
HBEGF,human,,0.001214774,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.941729657,,-5.0
CGA,human,,0.001217319,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.742753312,,-25.0
LHB,human,,0.001217319,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.742753312,,-25.0
MASP1,human,,0.001220035,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.218012517,,21.0
KAZALD1,human,,0.00122305,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.949758413,,-5.0
CAPZA1,human,,0.001227334,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.795818453,,-20.0
COL4A3BP,human,,0.001239977,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.809666896,,-19.0
KLK8,human,,0.001253505,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.977703679,,-2.0
PCSK1,human,,0.001259582,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.964155117,,-3.0
